id,chapterId,character,text,aspect,requiresPerk,comment,leftAnswer.text,leftAnswer.outcome,leftAnswer.effect.money,leftAnswer.effect.relationships,leftAnswer.effect.ego,leftAnswer.effect.skills,leftAnswer.effect.addPerk,leftAnswer.effect.removePerk,leftAnswer.nextQuestion,leftAnswer.nextChapter,leftAnswer.ending,rightAnswer.text,rightAnswer.outcome,rightAnswer.effect.money,rightAnswer.effect.relationships,rightAnswer.effect.ego,rightAnswer.effect.skills,rightAnswer.effect.addPerk,rightAnswer.effect.removePerk,rightAnswer.nextQuestion,rightAnswer.nextChapter,rightAnswer.ending
start,djStart,InnerVoice,Where do you start?,"hierarchisation, freelance",,,Rent a Room,"You’ve rented a room with a breathtaking ocean view, but without a car, you can’t reach a single studio in town.",-20,-10,10,0,,,bartender,,,Buy a Car,"You’re now living out of your car, but hey, you can zip around any part of LA with ease.",-10,10,-10,,,,bartender,,
bartender,djStart,InnerVoice,"You have some savings, but they won’t last forever. You’ve been offered a job at a bar. Will you take it?",hierarchisation,,,Yes,You’re now a bartender. You’re so exhausted that there’s almost no time left to write.,10,0,-10,-10,bartender,,breakinginintro,breakingin1,,No,"You can dedicate yourself to creativity all day, but careful – funds don’t last forever.",-10,0,10,10,,,breakinginintro,breakingin1,
breakinginintro,breakingin1,InnerVoice,"You’ve been in LA for three months, and you’re still a nobody. Shocking! Time to prove what you’re made of.",,,No real choice,Right!,,0,0,0,0,,,pitchspec,,,Ok...,,0,0,0,0,,,pitchspec,,
pitchspec,breakingin1,InnerVoice,Will you pitch or spec your first movie?,freelance,,,Pitch,"Nobody’s listening to a newbie like you. After countless rejections, you just write a spec script anyway.",0,-10,-10,0,,,firstmovietheme,,,Spec,,0,0,0,,,,firstmovietheme,,
firstmovietheme,breakingin1,InnerVoice,What will it be about? ,"balance, standardisation",,,"A meaningful, personal theme, but not very trendy","You write the script in a week. Super niche, but you love it.",0,0,10,10,,,advice,,,Hot topic that doesn't spark joy in you,"The theme isn’t really your thing, so you keep dozing off mid-sentence, and it takes you six months to finish.",0,0,-10,5,,,advice,,
advice,breakingin1,InnerVoice,"So, who are you showing your precious first draft to?","balance, standardisation",,No real choice,Hmmm...,,0,0,0,0,,,advice1,,,Let's see,,0,0,0,0,,,advice1,,
advice1,breakingin1,ScreenwritingGuru,"Your old screenwriting teacher, a self-proclaimed 'guru.'","balance, standardisation",,,Yes,,0,0,0,0,,,gurucriticism,,,No,,0,0,0,0,,,advice2,,
gurucriticism,breakingin1,Screenwriting Guru,"This is great, but where’s the classic three-act structure? Reread The Hero's Journey and rewrite it!","balance, standardisation, collaboration",,,Rewrite it,"Now it’s got the perfect structure... but man, it’s boring.",0,10,-10,10,,,getnoticed,,,Keep it as it is,Plot holes? Maybe. But they’re my plot holes!,0,-10,10,0,,,getnoticed,,
advice2,breakingin1,FellowScreenwriter,An alternative fellow-screenwriter,"balance, standardisation, collaboration",,,Yes,,0,0,0,0,,,fellowcriticism,,,No,,0,0,0,0,,,advice3,,
fellowcriticism,breakingin1,FellowScreenwriter,"You’re too constrained! Break the narrative chains, throw in some dream sequences and symbolic details.","balance, standardisation, collaboration",,,Keep it as is,Plot holes? Maybe. But they’re my plot holes!,0,-10,10,0,,,getnoticed,,,Rewrite it,Now even you’re not sure what your movie’s about... but it sure looks deep.,0,10,5,15,,,getnoticed,,
advice3,breakingin1,InnerVoice,Pay for professional script coverage.,"balance, standardisation",,,Yes,"You received valuable insights, but wow, those words didn’t come cheap.",-10,0,-5,20,,,getnoticed,,,No,"Why would you need someone’s criticism? Your genius is self-evident — at least, to you.",0,0,20,0,,,getnoticed,,
getnoticed,breakingin1,InnerVoice,What’s your plan to get your script noticed by producers?,freelance,,,Send 100 emails to every production company I know.,"You get zero responses, but a year and a half later, you see a trailer for a film with a suspiciously similar storyline.",0,-10,-10,0,,,"salarybar, parents",dj2,,Call up a friend who’s a receptionist at one of the studios,,0,0,0,0,,,friendhelp,,
friendhelp,breakingin1,FellowScreenwriter,"You didn’t answer my messages for three months, and now you need my help?",freelance,,,Go with emails,"You get zero responses, but a year and a half later, you see a trailer for a film with a suspiciously similar storyline.",0,-10,-10,0,,,"salarybar, parents",dj2,,Let's talk over dinner. It's on me.,"""Thanks for the dinner, but it’s clearly not what the studio is looking for. Feel free to show me your future projects, though.""",-10,10,0,0,,,"salarybar, parents",dj2,
salarybar,dj2,InnerVoice,Your paycheck has arrived! (job: Bartender),hierarchisation,bartender,No real choice.,About time.,,10,,,,,,keepjobbar,,,Hope it lasts,,10,,,,,,keepjobbar,,
keepjobbar,dj2,InnerVoice,Will you keep working in the bar?,hierarchisation,,,Yes,,0,0,0,0,,,moreshifts,,,No!,"Terrified of being stuck in the bar forever, you quit with a dramatic monologue.",-10,0,10,10,,bartender,parents,buzzchapter,
moreshifts,dj2,InnerVoice,The bar manager offers you to trade your soul for more shifts and a little extra cash. Do you agree?,hierarchisation,,,"Yes, please
",Congratulations — now you’re writing even less!,15,0,-10,-15,moreshifts,bartender,buzzintro,buzzchapter,,No!,"You tell yourself you’ll only work for one more month and then quit, but do you even believe that yourself?",10,0,-5,-10,,,buzzintro,buzzchapter,
